"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.A","Answer.B","Answer.C","Answer.D","Answer.check","Approve","Reject"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","317HQ483I8RJGR0TO5E0FMUEWVUINI","ARLSOH5YMGJGN","Approved","Tue Mar 15 10:48:57 PDT 2016","Tue Mar 15 10:49:34 PDT 2016","Tue Mar 22 10:49:34 PDT 2016","Sat Mar 19 19:11:56 PDT 2016","","","37","98% (54/55)","98% (54/55)","98% (54/55)","15","75","50","10","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","33NF62TLXK1E3WZW9A7KZVSAFGKJKY","A2YFPO0N4GIS25","Approved","Tue Mar 15 11:04:53 PDT 2016","Tue Mar 15 11:05:30 PDT 2016","Tue Mar 22 11:05:30 PDT 2016","Sat Mar 19 19:11:56 PDT 2016","","","37","100% (56/56)","100% (56/56)","100% (56/56)","13","65","50","8","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","340UGXU9DZ01XN42KDP586C2CTCVUD","A2HM35CWB7IIFM","Approved","Tue Mar 15 09:26:34 PDT 2016","Tue Mar 15 09:27:09 PDT 2016","Tue Mar 22 09:27:09 PDT 2016","Sat Mar 19 19:11:56 PDT 2016","","","35","100% (57/57)","100% (56/56)","100% (56/56)","20","80","60","15","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","345LHZDEDYRHLE2J03JZPBKJL9JU3F","A2XM6C78S9L8UG","Approved","Tue Mar 15 09:32:37 PDT 2016","Tue Mar 15 09:33:00 PDT 2016","Tue Mar 22 09:33:00 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","23","74% (40/54)","74% (40/54)","74% (40/54)","20","70","45","12","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","36H9ULYP63T3NA7I8ZGNJI057KTJFM","A3JZS32RQUWGJM","Approved","Tue Mar 15 11:23:54 PDT 2016","Tue Mar 15 11:24:13 PDT 2016","Tue Mar 22 11:24:13 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","19","71% (24/34)","71% (24/34)","71% (24/34)","15","75","50","12","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","38SKSKU7R2WTSRX8CSYL2UQPR0SLIH","A18TCR555RWUZV","Approved","Tue Mar 15 10:30:14 PDT 2016","Tue Mar 15 10:30:33 PDT 2016","Tue Mar 22 10:30:33 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","19","100% (56/56)","100% (56/56)","100% (56/56)","20","75","50","15","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","39ASUFLU6Y6CCGCBUSBIS9NK6I3XEI","A2UX7ZJEGGU5","Approved","Tue Mar 15 11:36:24 PDT 2016","Tue Mar 15 11:37:53 PDT 2016","Tue Mar 22 11:37:53 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","89","84% (27/32)","84% (27/32)","84% (27/32)","15","65","40","10","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","39O5D9O87URLZKLJECYZV5YDE9F3CH","A15A09BRS1Q8W0","Approved","Tue Mar 15 10:09:03 PDT 2016","Tue Mar 15 10:09:32 PDT 2016","Tue Mar 22 10:09:32 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","29","97% (29/30)","97% (29/30)","97% (29/30)","20","62","38","18","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3D3VGR7TA1EP5MA2W9OUK0XZEBMR3H","A2V6SYSAA0PML1","Approved","Tue Mar 15 11:26:43 PDT 2016","Tue Mar 15 11:27:14 PDT 2016","Tue Mar 22 11:27:14 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","31","100% (16/16)","100% (16/16)","100% (16/16)","20","66","33","10","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3DY4FPOOA2N9HVCLGJU03VPI5VHVRK","A3RLCGRXA34GC0","Approved","Tue Mar 15 11:27:22 PDT 2016","Tue Mar 15 11:28:13 PDT 2016","Tue Mar 22 11:28:13 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","51","100% (6/6)","100% (6/6)","100% (6/6)","23","63","54","16","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3EO896NRAXUD6FPJ3JLC0MF6YUAJT5","A22XK2FSFIAAFG","Approved","Tue Mar 15 11:30:57 PDT 2016","Tue Mar 15 11:31:21 PDT 2016","Tue Mar 22 11:31:21 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","24","91% (50/55)","91% (50/55)","91% (50/55)","20","75","75","20","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3F0BG9B9MQMG36NBCGJE5D2CM1T7YC","A1WG3KVS2YR4G0","Approved","Tue Mar 15 11:33:26 PDT 2016","Tue Mar 15 11:34:00 PDT 2016","Tue Mar 22 11:34:00 PDT 2016","Sat Mar 19 19:11:57 PDT 2016","","","34","100% (13/13)","100% (13/13)","100% (13/13)","20","93","60","13","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3GDTJDAPVVAK933G3IN9PIB0OBL8MA","A2B8HPIZDKYKDR","Approved","Tue Mar 15 11:34:41 PDT 2016","Tue Mar 15 11:35:01 PDT 2016","Tue Mar 22 11:35:01 PDT 2016","Sat Mar 19 19:11:58 PDT 2016","","","20","94% (51/54)","94% (51/54)","94% (51/54)","20","70","40","10","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3GM6G9ZBKOW37NV46GY4GE7N2O5MTC","A2J2P9JE374XCM","Approved","Tue Mar 15 11:32:00 PDT 2016","Tue Mar 15 11:32:46 PDT 2016","Tue Mar 22 11:32:46 PDT 2016","Sat Mar 19 19:11:58 PDT 2016","","","46","94% (15/16)","94% (15/16)","94% (15/16)","10","50","30","5","100"
"34R0BODSP1Y0ODU8YKNLC60HO0HE5F","3U2Q8YJAS9NM3NLOI7HXV8TAO4NT5X","Perception Study for Charts","View a chart and make comparisons","survey, charts, graphs","$0.20","Tue Mar 15 09:24:29 PDT 2016","30","BatchId:2312251;","180","604800","Tue Mar 22 09:24:29 PDT 2016","","","3HMVI3QICKR2SK89N02543BZJEH1YV","A35D31QHYQUF9V","Approved","Tue Mar 15 11:22:59 PDT 2016","Tue Mar 15 11:23:22 PDT 2016","Tue Mar 22 11:23:22 PDT 2016","Sat Mar 19 19:11:58 PDT 2016","","","23","96% (54/56)","96% (54/56)","96% (54/56)","20","75","50","10","100"
